nom,cat_iucn,creation,date_creation,date_modification,mention_changement,hectares,num_atlas_,full_name,province,region,district,gest_1,gest_2,type_ap,an_creation,nom_wdpa,geometry,rownum
Pic d'Ivohibe,IV,"Créée le 16.09.64, Changement statut & limite en 2015, RS avant , PN en 2015 - déc n° 2015-775",1964-09-16T00:00:00Z,2015-04-28T00:00:00Z,TRUE,4493.574,48,Réserve Spéciale du Pic d'Ivohibe,Fianarantsoa,Ihorombe,Ivohibe,Madagascar National Parks,MNP,TERRESTRE,1964,Ivohibe,NA,52
Kalambatritra,IV,"Créée le 24.04.59, Changement de limite en 2015 sous le décret n° 2015-734 du 21 avril 2015",1959-04-24T00:00:00Z,2015-04-21T00:00:00Z,TRUE,30403.06,52,Réserve Spéciale de Kalambatritra,"Fianarantsoa, Toliary","Anosy, Ihorombe","Betroka, Iakora",Madagascar National Parks,MNP,TERRESTRE,1959,Kalambatrika,NA,53
Kasijy,IV,Créée le 10 setembre 1956,1956-09-10T00:00:00Z,NA,FALSE,22956.386,70,Réserve Spéciale de Kasijy,Mahajanga,Betsiboka,Kandreho,"Ministère de l'Environnement, de l'Ecologie et des Forêts",MEEF,TERRESTRE,1956,Kasijy,NA,54
Kirindy - Mitea,II,"Créée depuis le 18.12.97, Changement limite en 2015 sous le décret 2015-735 du 21 avril 2015",1997-12-18T00:00:00Z,2015-04-21T00:00:00Z,TRUE,156220.884,87,Parc National de Kirindy Mité,Toliary,Menabe,"Manja, Morondava",Madagascar National Parks,MNP,TERRESTRE Avec Partie Marine,1997,Kirindy Mite,NA,55
Lac Alaotra,V,Décret n°2015-756 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,42479.661,31,Paysage Harmonieux Protégé du Lac Alaotra,Toamasina,Alaotra Mangoro,"Ambatondrazaka, Amparafaravola",Durrell Wildlife Conservation Trust,DWTC,TERRESTRE,2015,Lac Alaotra,NA,56
Lokobe,II,"Décret n°2011 - 499 du 06 juillet 2011, anciennement RNI",1927-12-31T00:00:00Z,2011-07-06T00:00:00Z,TRUE,845.199,9,"Parc National de Lokobe
","Antsiranana
","Diana
","Nosy Be
","Madagascar National Parks
","MNP
","TERRESTRE Avec Partie Marine
",1927,Lokobe,NA,57
Loky Manambato,V,Décret n°2015-759 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,248409.453,6,Paysage Harmonieux Protégé de Loky Manambato,Antsiranana,Sava,Vohimarina (Vohémar),Association Fanamby,NA,"TERRESTRE Avec Partie Marine (Iles, zones côtières)",2015,Loky Manambato,NA,58
Réserve de Ressources Naturelle Mahimborondro,VI,Décret n°2015-782 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,75167.734,17,Réserve de Ressources Naturelles de Mahimborondro,Mahajanga,Sofia,"Ambaja, Bealanana",The Peregrine Fund,TPF,TERRESTRE,2015,Mahimborondro,NA,59
Makira,II,Décret n°2012-641 du 19 juin 2012,2012-06-19T00:00:00Z,NA,FALSE,372179.355,23,Parc Naturel de Makira,"Antsiranana, Mahajanga, Toamasina","Analanjirofo, Sava, Sofia","Andapa, Antalaha, Befandriana Nord, Mandritsara, Maroantsetra",Wildlife Conservation Society,WCS,TERRESTRE,2012,Makira,NA,60
Makirovana Tsihomanaomby,VI,Décret n°2015-768 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,3386.6,16,Réserve de Ressources Naturelles de Makirovana Tsihomanaomby,Antsiranana,Sava,"Sambava, Vohimarina (Vohémar)",Missouri Botanical Garden,MBG,TERRESTRE,2015,Makirovana Tsihomanaomby,NA,61
Mananara-Nord,II,Créée le 25 juillet 1989,1989-07-25T00:00:00Z,NA,FALSE,24155.934,26,"Parc National de Mananara Nord
","Toamasina
","Analanjirofo
","Mananara Nord
","Madagascar National Parks
","MNP
","TERRESTRE Avec Partie Marine
",1989,Mananara Nord,NA,62
Mandena,V,Décret n°2015-779 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,437.112,59,Paysage Harmonieux Protégé de Mandena,Toliary,Anosy,Taolagnaro (Fort Dauphin),QIT Madagascar Minerals - Rio Tinto,QMM,TERRESTRE,2015,Mandena,NA,63
Mangabe-Ranomena-Sahasarotra,VI,Décret n°2015-725 du 21 avril 2015,2015-04-21T00:00:00Z,NA,FALSE,27131.518,44,Réserve de Ressources Naturelles de Mangabe-Ranomena-Sahasarotra,Toamasina,Alaotra Mangoro,Moramanga,Madagasikara Voakajy,MV,TERRESTRE,2015,Mangabe-Ranomena-Sahasarotra,NA,64
Mangerivola,IV,Créée le 28 octobre 1958,1958-10-28T00:00:00Z,NA,FALSE,12479.001,36,Réserve Spéciale de Mangerivola,Toamasina,Atsinanana,"Toamasina II, Vohibinany",Madagascar National Parks,MNP,TERRESTRE,1958,Mangerivola,NA,65
Manjakatompo Ankaratra,VI,Décret n°2015 -711 du 21 avril 2015,2015-04-21T00:00:00Z,NA,FALSE,8130.97,74,Réserve de Ressources Naturelles de Manjakatompo Ankaratra,Antananarivo,Vakinankaratra,Ambatolampy,Vondrona Ivon'ny Fampandrosoana,VIF,TERRESTRE,2015,Manjakatompo Ankaratra,NA,66
Manombo,IV,Créée depuis le 05 decembre 1962,1962-12-05T00:00:00Z,NA,FALSE,6548.27,49,Réserve Spéciale de Manombo,Fianarantsoa,Atsimo Atsinanana,Farafangana,Madagascar National Parks,MNP,TERRESTRE,1962,Manombo,NA,67
Manongarivo,IV,Créée depuis le 20 fevrier 1956,1956-02-20T00:00:00Z,NA,FALSE,51567.896,14,Réserve Spéciale de Manongarivo,"Antsiranana, Mahajanga","Diana, Sofia","Ambanja, Analalava",Madagascar National Parks,MNP,TERRESTRE,1956,Manongarivo,NA,68
Mantadia,II,Changement de limite le 07 aout 2002,1989-01-11T00:00:00Z,2002-08-07T00:00:00Z,TRUE,15455.784,40,Parc National de Mantadia,Toamasina,Alaotra Mangoro,Moramanga,Madagascar National Parks,MNP,TERRESTRE,1989,Mantadia,NA,69
Marojejy,II,Créée le 19 mai 1998,1998-05-19T00:00:00Z,NA,FALSE,55560.307,19,Parc National de Marojejy,Antsiranana,Sava,"Andapa, Sambava",Madagascar National Parks,MNP,TERRESTRE,1998,Marojejy,NA,70
Marolambo,II,Décret n°2015 -716 du 21 avril 2015,2015-04-21T00:00:00Z,NA,FALSE,95063.089,76,Parc National de Marolambo,"Antananarivo, Fianarantsoa, Toamasina","Amoron'i Mania, Atsinanana, Vakinankaratra, Vatovavy fitovinany","Ambositra, Antanifotsy, Fandriana, Ifanadiana, Marolambo, Nosy Varika",Madagascar National Parks,MNP,TERRESTRE,2015,Marolambo,NA,71
Maromizaha,VI,Décret n°2015-783 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,1580.46,43,Réserve de Ressources Naturelles de Maromizaha,Toamasina,Alaotra Mangoro,Moramanga,Groupe d’étude et de recherche sur les primates de Madagascar,GERP,TERRESTRE,2015,Maromizaha,NA,72
Marotandrano,IV,"Créée le 20.02.56, Changement de limite en 2015 sous le décret n° 2015- 784 du 28 avril 2015",1956-02-20T00:00:00Z,2015-04-28T00:00:00Z,TRUE,45102.37,27,Réserve Spéciale de Marotandrano,"Toamasina, Mahajanga","Alaotra Mangoro, Sofia","Andilamena, Mandritsara",Madagascar National Parks,MNP,TERRESTRE,1956,Marotandrano,NA,73
Masoala,II,Créée le 02 mars 1997,1997-03-02T00:00:00Z,NA,FALSE,222070.442,24,Parc National de Masoala,"Antsiranana, Toamasina","Analanjirofo, Sava","Antalaha, Maroantsetra",Madagascar National Parks,MNP,TERRESTRE Avec Partie Marine,1997,Masoala,NA,74
Massif d'Ibity,V,Décret n°2015-772 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,6136.602,77,Paysage Harmonieux Protégé du Massif d'Ibity,Antananarivo,Vakinankaratra,Antsirabe II,Missouri Botanical Garden,MBG,TERRESTRE,2015,Massif d'Ibity,NA,75
Massif d'Itremo,V,Décret n°2015 -713 du 21 avril 2015,2015-04-21T00:00:00Z,NA,FALSE,24696.443,78,Paysage Harmonieux Protégé du Massif d'Itremo,Fianarantsoa,Amoron'i Mania,Ambatofinandrahana,Royal Botanical Gardens,RBG KEW,TERRESTRE,2015,Massif d'Itremo,NA,76
Menabe Antimena,V,Décret n°2015-762 du 28 avril 2015,2015-04-28T00:00:00Z,NA,FALSE,201927.135,85,Paysage Harmonieux Protégé de Menabe Antimena,Toliary,Menabe,"Morondava, Belo Tsiribihina",Association Fanamby,NA,TERRESTRE Avec Partie Marine (mangroves et zones côtières),2015,Menabe Antimena,NA,77
